角色,内容,开始,结束,分镜
阿七,今天是冷艳欲解风,,,0
阿七,完蛋忘带伞了,,,0
阿七,真的好晒,,,0
阿七,宝宝,,,0
阿七,宝宝你看,,,1
阿七,达里元,,,1
阿七,不丁达尔效应,,,2
阿七,锁定目标,,,3
阿七,蓄势待发,,,3
阿七,一击必中,,,3
阿七,宝你看这小毛虽然很胖,,,4
阿七,没说你,,,4
阿七,你继续,,,4
阿七,汇报今日午饭,,,5
阿七,芝士年糕鸡,,,5
阿七,这个可好吃了,,,5
阿七,宝宝,,,5
阿七,我今天发工资了,,,5
阿七,必须要奖励自己一顿好的,,,5
阿七,看我今天买了这么多,,,6
阿七,发工资的就是好狠,,,6
阿七,宝宝你猜我等下能挂多少,,,6
阿七,猜中了我就分你一半,,,6
阿七,再奖励自己一部新手机,,,7
阿七,宝宝这是我在转转上买的二手苹果13pro,,,7
阿七,才花了4900,,,7
阿七,用起来跟新的一样,,,8
阿七,还比新的便宜2000多,,,8
阿七,而且转转是一个官方亚二手平台,,,9
阿七,每台手机都经过真人检测,,,10
阿七,强烈推荐,,,10
阿七,买二手就得买官方验过的,,,12
阿七,饭后小甜点,,,12
阿七,一只大恐龙,,,13
阿七,嗷嗷嗷就出现了,,,13
阿七,然后他就,,,14
阿七,被我吃掉了,,,14
阿七,宝宝,,,14
阿七,呵呵,,,14
阿七,宝宝你看这个电动轮椅,,,15
阿七,好心动啊,,,15
阿七,我也想买一辆,,,15
阿七,登登登登,,,16
阿七,接下来为您揭晓今晚中奖金额,,,16
阿七,20块钱,,,16
阿七,呵呵呵,,,16
阿七,宝宝我真的好黑呀,,,16
阿七,你猜中了没有啊,,,16
